;;;;;;
2015 - Bookkeeping to Trial Balance;;;;;;
;;;;;;
Revision Videos;;;;;;
;;Study Phases;Category;Code;Title;Vimeo code
;;;;BKTB2clip12;Day 14 - Supplementary income received in cash;54366719
;;;;BKTB2clip13;Day 15 - Capital contribution by the owner (Non-cash);54366722
;;;;BKTB2clip14;Day 17 - Credit sale of inventory (Mark-up on cost);54366723
;;;;BKTB2clip15;Day 18 - Returns of inventory by a debtor;54366724
;;;;BKTB2clip16;Day 20 - Settlement discount granted (Debtors);54434185
;;;;BKTB2clip17;Day 21 - Drawings of cash by the owner;54368346
;;;;BKTB2clip18;Day 22 - Credit purchase of equipment;54368347
;;;;BKTB2clip19;Day 24 - Credit sale of inventory (Mark-up on cost);54368348
;;;;BKTB2clip20;Day 25 - Credit losses (Bad debts);54368350
;;;;BKTB2clip21;Day 26 - Purchase of zero-rated supply;54368359
;;;;BKTB2clip22;Day 27 - Drawings of inventory by the owner;54368364
;;;;BKTB2clip23;Day 28 - Interest earned (exempt supply);54368369
;;;;;;
;;;SUBLDB - Subsidiary ledger: Debtors;SUBLDBclip1;Introduction & Overview;54436922
;;;;SUBLDBclip2;Q. Quebec;54436923
;;;;SUBLDBclip3;H. Henry;54428802
;;;;SUBLDBclip4;K. Kurt;54428800
;;;;SUBLDBclip5;K. Legget & L. Red;54436924
;;;;SUBLDBclip6;Debtors control account;54436927
;;;;;;
;;;SUBLCR - Subsidiary ledger: Creditors;SUBLCRclip1;Introduction & Overview;54441151
;;;;SUBLCRclip2;SA Steel Ltd.;54441143
;;;;SUBLCRclip3;Reveret Suppliers;54441144
;;;;SUBLCRclip4;Game;54441147
;;;;SUBLCRclip5;Horner Traders;54441150
;;;;SUBLCRclip6;Supply Land;54442255
;;;;SUBLCRclip7;Creditors control account;54442257
;;;;;;
;;;BANREC - Bank Reconciliation;BANKRECclip1;Introduction & Overview;54442256
;;;;BANKRECclip2;Enter opening balances;54509884
;;;;BANKRECclip3;Step 1;54511055
;;;;BANKRECclip4;Step 2;54509882
;;;;BANKRECclip5;Step 3;54510258
;;;;BANKRECclip6;Step 4;54510257
;;;;BANKRECclip7;Step 5;54510259
;;;;BANKRECclip8;Step 6;54511053
;;;;BANKRECclip9;Step 7;54511054
;;;;;;
